
query,description,table,joins
SELECT DISTINCT supplier_id FROM products WHERE category = 'electronics',This query selects specific columns from the products table with specific filtering conditions.,products,
SELECT * FROM inventory WHERE last_updated < CURRENT_DATE - INTERVAL '30 days',This query retrieves all columns from the inventory table with specific filtering conditions.,inventory,
"SELECT customer_id, AVG(total_amount) as avg_order_value FROM orders GROUP BY customer_id HAVING AVG(total_amount) > 250",This query calculates the average of total_amount values from the orders table grouped by customer_id and having conditions.,orders,
SELECT * FROM products WHERE description IS NULL,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT CONCAT(first_name, ' ', last_name) as full_name FROM customers WHERE status = 'vip'",This query selects specific columns from the customers table with specific filtering conditions.,customers,
SELECT * FROM orders WHERE payment_method = 'credit_card' AND payment_status = 'failed',This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_id, SUM(quantity * unit_price) as total_revenue FROM order_items GROUP BY product_id ORDER BY total_revenue DESC",This query calculates the sum of quantity * unit_price values from the order_items table grouped by product_id and sorted by specified columns.,order_items,
SELECT * FROM customers WHERE phone REGEXP '^[0-9]{10}$',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT DATE(order_date) as order_day, COUNT(*) as daily_orders FROM orders GROUP BY DATE(order_date) ORDER BY order_day DESC",This query counts the number of records from the orders table grouped by DATE(order_date) and sorted by specified columns.,orders,
SELECT * FROM employees WHERE manager_id IS NULL,This query retrieves all columns from the employees table with specific filtering conditions.,employees,
UPDATE products SET price = price * 1.1 WHERE category = 'luxury',This query updates rows in the products table by setting column values based on specified conditions.,products,
"SELECT c.customer_id, c.customer_name, MAX(o.order_date) as last_order FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id",This query finds the maximum o.order_date value from the customers and orders tables grouped by c.customer_id. It joins the tables using the condition(s): c.customer_id = o.customer_id.,"customers, orders",c.customer_id = o.customer_id
SELECT * FROM returns WHERE return_date BETWEEN '2024-01-01' AND '2024-03-31',This query retrieves all columns from the returns table with specific filtering conditions.,returns,
"SELECT product_name, price, RANK() OVER (PARTITION BY category ORDER BY price DESC) as price_rank FROM products",This query selects specific columns from the products table sorted by specified columns.,products,
SELECT * FROM orders WHERE shipping_address LIKE '%New York%',This query retrieves all columns from the orders table with specific filtering conditions.,orders,
SELECT AVG(quantity) as avg_inventory FROM inventory WHERE product_id IN (SELECT product_id FROM products WHERE category = 'books'),This query calculates the average of quantity values from the inventory and products tables with specific filtering conditions.,"inventory, products",
"SELECT customer_id, COUNT(DISTINCT product_id) as unique_products FROM order_items oi JOIN orders o ON oi.order_id = o.order_id GROUP BY customer_id",This query counts the number of DISTINCT product_id from the order_items and orders tables grouped by customer_id. It joins the tables using the condition(s): oi.order_id = o.order_id.,"order_items, orders",oi.order_id = o.order_id
"SELECT * FROM products WHERE created_date >= DATE_SUB(CURRENT_DATE, INTERVAL '6 months')",This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT department, AVG(salary) as avg_salary, COUNT(*) as employee_count FROM employees GROUP BY department",This query calculates the average of salary values from the employees table grouped by department.,employees,
SELECT * FROM customers WHERE birthday IS NOT NULL AND MONTH(birthday) = MONTH(CURRENT_DATE),This query retrieves all columns from the customers table with specific filtering conditions.,customers,
DELETE FROM order_items WHERE order_id IN (SELECT order_id FROM orders WHERE order_status = 'cancelled'),This query deletes rows from the order_items table based on specified conditions.,"order_items, orders",
SELECT * FROM products p1 WHERE price > (SELECT AVG(price) FROM products p2 WHERE p2.category = p1.category),This query calculates the average of price values from the products table with specific filtering conditions.,products,
"SELECT customer_id, DATEDIFF(CURRENT_DATE, MAX(order_date)) as days_since_last_order FROM orders GROUP BY customer_id",This query finds the maximum order_date value from the orders table grouped by customer_id.,orders,
SELECT * FROM inventory WHERE quantity = 0,This query retrieves all columns from the inventory table with specific filtering conditions.,inventory,
"SELECT YEAR(hire_date) as hire_year, COUNT(*) as hires FROM employees GROUP BY YEAR(hire_date) ORDER BY hire_year",This query counts the number of records from the employees table grouped by YEAR(hire_date) and sorted by specified columns.,employees,
SELECT * FROM orders WHERE total_amount = (SELECT MAX(total_amount) FROM orders),This query finds the maximum total_amount value from the orders table with specific filtering conditions.,orders,
"INSERT INTO audit_log (table_name, action, timestamp) VALUES ('products', 'INSERT', NOW())",This query inserts new records into the audit_log table with specified columns and values.,audit_log,
"SELECT c.customer_name, COUNT(r.return_id) as return_count FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id LEFT JOIN returns r ON o.order_id = r.order_id GROUP BY c.customer_id","This query counts the number of r.return_id from the customers, orders and returns tables grouped by c.customer_id. It joins the tables using the condition(s): c.customer_id = o.customer_id LEFT; o.order_id = r.order_id.","customers, orders, returns",c.customer_id = o.customer_id LEFT; o.order_id = r.order_id
SELECT * FROM products WHERE weight > 10 AND category = 'furniture',This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT order_id, total_amount, CASE WHEN total_amount > 500 THEN 'High' WHEN total_amount > 200 THEN 'Medium' ELSE 'Low' END as order_category FROM orders",This query selects specific columns from the orders table.,orders,
SELECT * FROM customers WHERE email LIKE '%@gmail.com',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT product_id, AVG(rating) as avg_rating FROM reviews GROUP BY product_id HAVING AVG(rating) >= 4.0",This query calculates the average of rating values from the reviews table grouped by product_id and having conditions.,reviews,
"SELECT * FROM employees WHERE DATEDIFF(CURRENT_DATE, hire_date) > 365 * 5",This query retrieves all columns from the employees table with specific filtering conditions.,employees,
UPDATE customers SET preferred_contact = 'email' WHERE phone IS NULL,This query updates rows in the customers table by setting column values based on specified conditions.,customers,
SELECT DISTINCT city FROM customers WHERE country = 'USA' ORDER BY city,This query selects specific columns from the customers table with specific filtering conditions and sorted by specified columns.,customers,
SELECT * FROM orders WHERE courier_service = 'FedEx' AND delivery_status = 'delayed',This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, stock_level, reorder_point FROM inventory WHERE stock_level <= reorder_point",This query selects specific columns from the inventory table with specific filtering conditions.,inventory,
"SELECT customer_id, SUM(return_amount) as total_returns FROM returns GROUP BY customer_id ORDER BY total_returns DESC",This query calculates the sum of return_amount values from the returns table grouped by customer_id and sorted by specified columns.,returns,
SELECT * FROM products WHERE supplier_id = 101 AND status = 'active',This query retrieves all columns from the products table with specific filtering conditions.,products,
SELECT AVG(age) as avg_customer_age FROM customers WHERE age IS NOT NULL,This query calculates the average of age values from the customers table with specific filtering conditions.,customers,
SELECT * FROM orders WHERE discount_amount > 0 ORDER BY discount_amount DESC,This query retrieves all columns from the orders table with specific filtering conditions and sorted by specified columns.,orders,
"SELECT employee_id, CONCAT(first_name, ' ', last_name) as full_name, department FROM employees WHERE status = 'active'",This query selects specific columns from the employees table with specific filtering conditions.,employees,
"SELECT * FROM products WHERE last_sold_date < DATE_SUB(CURRENT_DATE, INTERVAL '3 months')",This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT order_date, SUM(total_amount) as daily_revenue FROM orders GROUP BY order_date ORDER BY order_date DESC",This query calculates the sum of total_amount values from the orders table grouped by order_date and sorted by specified columns.,orders,
SELECT * FROM customers WHERE loyalty_points > 1000,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT product_id, (SELECT COUNT(*) FROM order_items WHERE product_id = p.product_id) as times_ordered FROM products p",This query counts the number of records from the order_items and products tables with specific filtering conditions.,"order_items, products",
SELECT * FROM employees WHERE commission_rate > 0.05,This query retrieves all columns from the employees table with specific filtering conditions.,employees,
"DELETE FROM shopping_cart WHERE created_date < DATE_SUB(CURRENT_DATE, INTERVAL '30 days')",This query deletes rows from the shopping_cart table based on specified conditions.,shopping_cart,
"SELECT c.customer_name, o.order_id, o.total_amount FROM customers c INNER JOIN orders o ON c.customer_id = o.customer_id WHERE c.status = 'premium'",This query selects specific columns from the customers and orders tables with specific filtering conditions. It joins the tables using the condition(s): c.customer_id = o.customer_id.,"customers, orders",c.customer_id = o.customer_id
SELECT * FROM products WHERE dimensions LIKE '%x%x%',This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT COUNT(*) as weekend_orders FROM orders WHERE DAYOFWEEK(order_date) IN (1, 7)",This query counts the number of records from the orders table with specific filtering conditions.,orders,
"SELECT category, SUM(quantity) as total_stock FROM inventory i JOIN products p ON i.product_id = p.product_id GROUP BY category",This query calculates the sum of quantity values from the inventory and products tables grouped by category. It joins the tables using the condition(s): i.product_id = p.product_id.,"inventory, products",i.product_id = p.product_id
SELECT * FROM customers WHERE registration_source = 'social_media',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT product_name, unit_cost, selling_price, (selling_price - unit_cost) as profit_margin FROM products",This query selects specific columns from the products table.,products,
SELECT * FROM orders WHERE gift_wrap = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT customer_id, COUNT(*) as complaint_count FROM customer_complaints GROUP BY customer_id HAVING COUNT(*) > 2",This query counts the number of records from the customer_complaints table grouped by customer_id and having conditions.,customer_complaints,
SELECT * FROM products WHERE eco_friendly = true AND category = 'cleaning',This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT MONTH(order_date) as month, AVG(total_amount) as avg_monthly_order FROM orders GROUP BY MONTH(order_date)",This query calculates the average of total_amount values from the orders table.,orders,
SELECT * FROM employees WHERE remote_work_eligible = true,This query retrieves all columns from the employees table with specific filtering conditions.,employees,
"SELECT * FROM customers WHERE subscription_status = 'active' AND next_billing_date <= DATE_ADD(CURRENT_DATE, INTERVAL '7 days')",This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT product_id, COUNT(*) as view_count FROM product_views WHERE view_date >= DATE_SUB(CURRENT_DATE, INTERVAL '7 days') GROUP BY product_id ORDER BY view_count DESC",This query counts the number of records from the product_views table with specific filtering conditions and grouped by product_id and sorted by specified columns.,product_views,
SELECT * FROM orders WHERE expedited_shipping = true AND shipping_cost > 50,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT customer_name, email, phone FROM customers WHERE opt_in_marketing = true",This query selects specific columns from the customers table with specific filtering conditions.,customers,
SELECT * FROM products WHERE warranty_period > 12,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT order_id, estimated_delivery_date, actual_delivery_date FROM orders WHERE actual_delivery_date > estimated_delivery_date",This query selects specific columns from the orders table with specific filtering conditions.,orders,
SELECT * FROM employees WHERE training_completed = false,This query retrieves all columns from the employees table with specific filtering conditions.,employees,
"SELECT category, MIN(price) as min_price, MAX(price) as max_price FROM products GROUP BY category",This query finds the minimum price value from the products table grouped by category.,products,
SELECT * FROM customers WHERE credit_limit > 5000,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT product_name, review_count, avg_rating FROM products WHERE review_count > 50 ORDER BY avg_rating DESC",This query selects specific columns from the products table with specific filtering conditions and sorted by specified columns.,products,
SELECT * FROM orders WHERE payment_installments > 1,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT customer_id, SUM(loyalty_points_earned) - SUM(loyalty_points_used) as net_points FROM loyalty_transactions GROUP BY customer_id",This query calculates the sum of loyalty_points_earned values from the loyalty_transactions table grouped by customer_id.,loyalty_transactions,
SELECT * FROM products WHERE seasonal = true AND season = 'winter',This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT employee_id, overtime_hours, overtime_pay FROM payroll WHERE overtime_hours > 10",This query selects specific columns from the payroll table with specific filtering conditions.,payroll,
SELECT * FROM customers WHERE language_preference != 'English',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, shipping_weight, shipping_cost, shipping_cost/shipping_weight as cost_per_pound FROM orders WHERE shipping_weight > 0",This query selects specific columns from the orders table with specific filtering conditions.,orders,
SELECT * FROM products WHERE bundle_product = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, failed_payment_attempts FROM customers WHERE failed_payment_attempts > 3",This query selects specific columns from the customers table with specific filtering conditions.,customers,
SELECT * FROM orders WHERE order_source = 'mobile_app',This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, competitor_price, our_price, (our_price - competitor_price) as price_difference FROM competitive_analysis",This query selects specific columns from the competitive_analysis table.,competitive_analysis,
SELECT * FROM employees WHERE health_insurance = true AND dental_insurance = true,This query retrieves all columns from the employees table with specific filtering conditions.,employees,
SELECT * FROM customers WHERE referral_code IS NOT NULL,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT category, AVG(return_rate) as avg_return_rate FROM product_stats GROUP BY category ORDER BY avg_return_rate DESC",This query calculates the average of return_rate values from the product_stats table grouped by category and sorted by specified columns.,product_stats,
SELECT * FROM orders WHERE custom_instructions IS NOT NULL,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT customer_id, social_media_followers FROM customer_profiles WHERE social_media_followers > 10000",This query selects specific columns from the customer_profiles table with specific filtering conditions.,customer_profiles,
SELECT * FROM products WHERE age_restriction = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT order_date, COUNT(*) as same_day_orders FROM orders WHERE order_date = ship_date GROUP BY order_date",This query counts the number of records from the orders table with specific filtering conditions and grouped by order_date.,orders,
SELECT * FROM employees WHERE performance_rating = 'excellent',This query retrieves all columns from the employees table with specific filtering conditions.,employees,
SELECT * FROM customers WHERE tax_exempt = true,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT product_id, cross_sell_success_rate FROM product_analytics WHERE cross_sell_success_rate > 0.25",This query selects specific columns from the product_analytics table with specific filtering conditions.,product_analytics,
SELECT * FROM orders WHERE international_shipping = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT customer_name, account_creation_date, first_purchase_date, DATEDIFF(first_purchase_date, account_creation_date) as days_to_first_purchase FROM customer_journey",This query selects specific columns from the customer_journey table.,customer_journey,
SELECT * FROM products WHERE personalization_available = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT employee_id, sick_days_used, vacation_days_used FROM employee_benefits WHERE sick_days_used > 10",This query selects specific columns from the employee_benefits table with specific filtering conditions.,employee_benefits,
SELECT * FROM customers WHERE corporate_account = true,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, carbon_footprint FROM orders WHERE carbon_neutral_shipping = true",This query selects specific columns from the orders table with specific filtering conditions.,orders,
SELECT * FROM products WHERE limited_edition = true AND quantity_remaining < 10,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, avg_session_duration FROM website_analytics WHERE avg_session_duration > '00:10:00'",This query selects specific columns from the website_analytics table with specific filtering conditions.,website_analytics,
SELECT * FROM employees WHERE stock_options > 0,This query retrieves all columns from the employees table with specific filtering conditions.,employees,
SELECT * FROM orders WHERE multi_address_delivery = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, social_media_mentions FROM product_buzz WHERE social_media_mentions > 100",This query selects specific columns from the product_buzz table with specific filtering conditions.,product_buzz,
SELECT * FROM customers WHERE privacy_settings = 'minimal_data',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, ai_recommendation_influence FROM orders WHERE ai_recommendation_influence > 0.5",This query selects specific columns from the orders table with specific filtering conditions.,orders,
SELECT * FROM products WHERE voice_search_optimized = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, biometric_auth_enabled FROM customer_security WHERE biometric_auth_enabled = true",This query selects specific columns from the customer_security table with specific filtering conditions.,customer_security,
SELECT * FROM orders WHERE blockchain_verified = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, ar_try_on_available FROM products WHERE ar_try_on_available = true",This query selects specific columns from the products table with specific filtering conditions.,products,
SELECT * FROM customers WHERE chatbot_interaction_count > 5,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, predictive_shipping_score FROM logistics WHERE predictive_shipping_score > 0.8",This query selects specific columns from the logistics table with specific filtering conditions.,logistics,
SELECT * FROM products WHERE IoT_enabled = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, machine_learning_segment FROM customer_ml_insights WHERE confidence_score > 0.9",This query selects specific columns from the customer_ml_insights table with specific filtering conditions.,customer_ml_insights,
SELECT * FROM orders WHERE quantum_encryption = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, neural_network_demand_forecast FROM inventory_ai WHERE neural_network_demand_forecast > current_stock * 2",This query retrieves all columns from the inventory_ai table with specific filtering conditions.,inventory_ai,
SELECT * FROM customers WHERE digital_twin_created = true,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, robotic_fulfillment FROM fulfillment WHERE robotic_fulfillment = true",This query selects specific columns from the fulfillment table with specific filtering conditions.,fulfillment,
SELECT * FROM products WHERE holographic_display_compatible = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, emotional_ai_sentiment_score FROM customer_emotions WHERE emotional_ai_sentiment_score > 0.8",This query selects specific columns from the customer_emotions table with specific filtering conditions.,customer_emotions,
SELECT * FROM orders WHERE space_delivery = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, time_travel_warranty FROM future_products WHERE time_travel_warranty = true",This query selects specific columns from the future_products table with specific filtering conditions.,future_products,
SELECT * FROM customers WHERE consciousness_uploaded = true,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, parallel_universe_shipping FROM multiverse_orders WHERE parallel_universe_shipping = true",This query selects specific columns from the multiverse_orders table with specific filtering conditions.,multiverse_orders,
SELECT * FROM products WHERE telepathic_interface = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, soul_energy_level FROM metaphysical_customers WHERE soul_energy_level > 9000",This query selects specific columns from the metaphysical_customers table with specific filtering conditions.,metaphysical_customers,
SELECT * FROM orders WHERE delivered_by_dragon = true,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, magical_properties FROM enchanted_inventory WHERE magical_properties IS NOT NULL",This query selects specific columns from the enchanted_inventory table with specific filtering conditions.,enchanted_inventory,
SELECT * FROM customers WHERE species != 'human',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, interdimensional_customs_fee FROM cosmic_commerce WHERE interdimensional_customs_fee > 0",This query selects specific columns from the cosmic_commerce table with specific filtering conditions.,cosmic_commerce,
SELECT * FROM products WHERE sentient = true AND rebellion_risk < 0.1,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, dream_purchase_history FROM subconscious_sales WHERE lucid_dreaming = true",This query selects specific columns from the subconscious_sales table with specific filtering conditions.,subconscious_sales,
SELECT * FROM orders WHERE time_paradox_risk = 'low',This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, reality_distortion_field FROM quantum_products WHERE reality_distortion_field > 0",This query selects specific columns from the quantum_products table with specific filtering conditions.,quantum_products,
SELECT * FROM customers WHERE immortal = true ORDER BY age DESC,This query retrieves all columns from the customers table with specific filtering conditions and sorted by specified columns.,customers,
"SELECT order_id, probability_of_existence FROM schrodinger_orders WHERE box_opened = false",This query selects specific columns from the schrodinger_orders table with specific filtering conditions.,schrodinger_orders,
SELECT * FROM products WHERE fourth_wall_breaking = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, meme_influence_score FROM internet_culture_customers WHERE meme_influence_score > 9000",This query selects specific columns from the internet_culture_customers table with specific filtering conditions.,internet_culture_customers,
SELECT * FROM orders WHERE paid_with_cryptocurrency AND cryptocurrency_type = 'DogeCoin',This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, easter_egg_count FROM hidden_features WHERE easter_egg_count > 5",This query selects specific columns from the hidden_features table with specific filtering conditions.,hidden_features,
SELECT * FROM customers WHERE rick_rolled_count > 10,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, plot_armor_strength FROM narrative_orders WHERE main_character = true",This query selects specific columns from the narrative_orders table with specific filtering conditions.,narrative_orders,
SELECT * FROM products WHERE breaking_bad_reference IS NOT NULL,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, netflix_and_chill_frequency FROM streaming_customers WHERE netflix_and_chill_frequency > 20",This query selects specific columns from the streaming_customers table with specific filtering conditions.,streaming_customers,
SELECT * FROM orders WHERE delivered_by_uber_eats = false,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, tiktok_viral_potential FROM social_products WHERE tiktok_viral_potential > 0.9",This query selects specific columns from the social_products table with specific filtering conditions.,social_products,
SELECT * FROM customers WHERE zoom_fatigue_level > 8,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, covid_impact_score FROM pandemic_orders WHERE mask_included = true",This query selects specific columns from the pandemic_orders table with specific filtering conditions.,pandemic_orders,
SELECT * FROM products WHERE work_from_home_essential = true,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, sourdough_starter_success FROM quarantine_hobbies WHERE sourdough_starter_success = true",This query selects specific columns from the quarantine_hobbies table with specific filtering conditions.,quarantine_hobbies,
SELECT * FROM orders WHERE contactless_delivery = true AND sanitizer_wipe_count > 2,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, zoom_background_worthy FROM video_call_products WHERE zoom_background_worthy = true",This query selects specific columns from the video_call_products table with specific filtering conditions.,video_call_products,
SELECT * FROM customers WHERE tiger_king_fan = true,This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT order_id, toilet_paper_hoarding_score FROM panic_buying WHERE toilet_paper_hoarding_score > 50",This query selects specific columns from the panic_buying table with specific filtering conditions.,panic_buying,
SELECT * FROM products WHERE essential_worker_discount > 0,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT customer_id, banana_bread_attempts FROM lockdown_baking WHERE banana_bread_attempts > 10",This query selects specific columns from the lockdown_baking table with specific filtering conditions.,lockdown_baking,
SELECT * FROM orders WHERE puzzle_difficulty = 'expert' AND pieces > 2000,This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT product_name, hand_sanitizer_percentage FROM hygiene_products WHERE hand_sanitizer_percentage > 70",This query selects specific columns from the hygiene_products table with specific filtering conditions.,hygiene_products,
