query,description,tables,joins,tables_parsed,joins_parsed
"SELECT t1.zip_code, t1.location_id, t1.state, MIN(t2.payment_date) as min_payment_date FROM project.dataset.locations t1 INNER JOIN project.dataset.payments t2 ON t1.location_id = t2.payment_id GROUP BY t1.zip_code, t1.location_id, t1.state ORDER BY min_payment_date DESC;","This SQL query selects zip_code, location_id, state from the locations table and computes the min of payment_date from the payments table as min_payment_date. It performs a inner join join between the locations and payments tables on the relevant fields, groups the results by the selected columns, and orders the results by min_payment_date in desc order.","['`project.dataset.locations`', '`project.dataset.payments`']","[{""left_table"": ""project.dataset.locations"", ""left_column"": ""location_id"", ""right_table"": ""project.dataset.payments"", ""right_column"": ""payment_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""locations"", ""payments""]","[{""left_table"": ""locations"", ""right_table"": ""payments"", ""left_column"": ""location_id"", ""right_column"": ""payment_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.category_id, t1.product_id, t1.unit_price, COUNT(*) as count_tracking_number FROM project.dataset.products t1 LEFT JOIN project.dataset.shipments t2 ON t1.category_id = t2.shipment_id GROUP BY t1.category_id, t1.product_id, t1.unit_price ORDER BY count_tracking_number ASC;","This SQL query selects category_id, product_id, unit_price from the products table and computes the aggregate of all rows from the shipments table as None. It performs a left join join between the products and shipments tables on the relevant fields, groups the results by the selected columns, and orders the results by count_tracking_number in asc order.","['`project.dataset.products`', '`project.dataset.shipments`']","[{""left_table"": ""project.dataset.products"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.shipments"", ""right_column"": ""shipment_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""products"", ""shipments""]","[{""left_table"": ""products"", ""right_table"": ""shipments"", ""left_column"": ""category_id"", ""right_column"": ""shipment_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.payment_id, t1.payment_date, t1.amount, SUM(t2.order_date) as sum_order_date FROM project.dataset.payments t1 LEFT JOIN project.dataset.orders t2 ON t1.order_id = t2.order_id GROUP BY t1.payment_id, t1.payment_date, t1.amount ORDER BY sum_order_date DESC;","This SQL query selects payment_id, payment_date, amount from the payments table and computes the sum of order_date from the orders table as sum_order_date. It performs a left join join between the payments and orders tables on the relevant fields, groups the results by the selected columns, and orders the results by sum_order_date in desc order.","['`project.dataset.payments`', '`project.dataset.orders`']","[{""left_table"": ""project.dataset.payments"", ""left_column"": ""order_id"", ""right_table"": ""project.dataset.orders"", ""right_column"": ""order_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""payments"", ""orders""]","[{""left_table"": ""payments"", ""right_table"": ""orders"", ""left_column"": ""order_id"", ""right_column"": ""order_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.return_date, t1.return_id, t1.refund_amount, COUNT(t2.department_name) as count_department_name FROM project.dataset.return_orders t1 LEFT JOIN project.dataset.departments t2 ON t1.return_id = t2.department_id GROUP BY t1.return_date, t1.return_id, t1.refund_amount ORDER BY count_department_name ASC;","This SQL query selects return_date, return_id, refund_amount from the return_orders table and computes the count of department_name from the departments table as count_department_name. It performs a left join join between the return_orders and departments tables on the relevant fields, groups the results by the selected columns, and orders the results by count_department_name in asc order.","['`project.dataset.return_orders`', '`project.dataset.departments`']","[{""left_table"": ""project.dataset.return_orders"", ""left_column"": ""return_id"", ""right_table"": ""project.dataset.departments"", ""right_column"": ""department_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""return_orders"", ""departments""]","[{""left_table"": ""return_orders"", ""right_table"": ""departments"", ""left_column"": ""return_id"", ""right_column"": ""department_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.price, t1.product_id, COUNT(t2.unit_price) as count_unit_price FROM project.dataset.sales t1 RIGHT JOIN project.dataset.products t2 ON t1.product_id = t2.product_id GROUP BY t1.price, t1.product_id ORDER BY count_unit_price DESC;","This SQL query selects price, product_id from the sales table and computes the count of unit_price from the products table as count_unit_price. It performs a right join join between the sales and products tables on the relevant fields, groups the results by the selected columns, and orders the results by count_unit_price in desc order.","['`project.dataset.sales`', '`project.dataset.products`']","[{""left_table"": ""project.dataset.sales"", ""left_column"": ""product_id"", ""right_table"": ""project.dataset.products"", ""right_column"": ""product_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""sales"", ""products""]","[{""left_table"": ""sales"", ""right_table"": ""products"", ""left_column"": ""product_id"", ""right_column"": ""product_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.address, t1.location_id, SUM(t2.refund_amount) as sum_refund_amount FROM project.dataset.locations t1 LEFT JOIN project.dataset.return_orders t2 ON t1.location_id = t2.order_id GROUP BY t1.address, t1.location_id ORDER BY sum_refund_amount ASC;","This SQL query selects address, location_id from the locations table and computes the sum of refund_amount from the return_orders table as sum_refund_amount. It performs a left join join between the locations and return_orders tables on the relevant fields, groups the results by the selected columns, and orders the results by sum_refund_amount in asc order.","['`project.dataset.locations`', '`project.dataset.return_orders`']","[{""left_table"": ""project.dataset.locations"", ""left_column"": ""location_id"", ""right_table"": ""project.dataset.return_orders"", ""right_column"": ""order_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""locations"", ""return_orders""]","[{""left_table"": ""locations"", ""right_table"": ""return_orders"", ""left_column"": ""location_id"", ""right_column"": ""order_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.city, t1.customer_id, COUNT(*) as count_product_name FROM project.dataset.customers t1 INNER JOIN project.dataset.products t2 ON t1.customer_id = t2.product_id GROUP BY t1.city, t1.customer_id ORDER BY t1.city DESC;","This SQL query selects city, customer_id from the customers table and computes the aggregate of all rows from the products table as None. It performs a inner join join between the customers and products tables on the relevant fields, groups the results by the selected columns, and orders the results by city in desc order.","['`project.dataset.customers`', '`project.dataset.products`']","[{""left_table"": ""project.dataset.customers"", ""left_column"": ""customer_id"", ""right_table"": ""project.dataset.products"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""customers"", ""products""]","[{""left_table"": ""customers"", ""right_table"": ""products"", ""left_column"": ""customer_id"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.supplier_id, t1.supplier_name, MAX(t2.description) as max_description FROM project.dataset.suppliers t1 LEFT JOIN project.dataset.categories t2 ON t1.supplier_id = t2.category_id GROUP BY t1.supplier_id, t1.supplier_name ORDER BY max_description ASC;","This SQL query selects supplier_id, supplier_name from the suppliers table and computes the max of description from the categories table as max_description. It performs a left join join between the suppliers and categories tables on the relevant fields, groups the results by the selected columns, and orders the results by max_description in asc order.","['`project.dataset.suppliers`', '`project.dataset.categories`']","[{""left_table"": ""project.dataset.suppliers"", ""left_column"": ""supplier_id"", ""right_table"": ""project.dataset.categories"", ""right_column"": ""category_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""suppliers"", ""categories""]","[{""left_table"": ""suppliers"", ""right_table"": ""categories"", ""left_column"": ""supplier_id"", ""right_column"": ""category_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.order_id, t1.status, COUNT(t2.quantity) as count_quantity FROM project.dataset.orders t1 INNER JOIN project.dataset.sales t2 ON t1.customer_id = t2.product_id GROUP BY t1.order_id, t1.status ORDER BY count_quantity ASC;","This SQL query selects order_id, status from the orders table and computes the count of quantity from the sales table as count_quantity. It performs a inner join join between the orders and sales tables on the relevant fields, groups the results by the selected columns, and orders the results by count_quantity in asc order.","['`project.dataset.orders`', '`project.dataset.sales`']","[{""left_table"": ""project.dataset.orders"", ""left_column"": ""customer_id"", ""right_table"": ""project.dataset.sales"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""orders"", ""sales""]","[{""left_table"": ""orders"", ""right_table"": ""sales"", ""left_column"": ""customer_id"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.return_id, t1.refund_amount, SUM(t2.description) as sum_description FROM project.dataset.return_orders t1 LEFT JOIN project.dataset.categories t2 ON t1.return_id = t2.category_id GROUP BY t1.return_id, t1.refund_amount ORDER BY sum_description ASC;","This SQL query selects return_id, refund_amount from the return_orders table and computes the sum of description from the categories table as sum_description. It performs a left join join between the return_orders and categories tables on the relevant fields, groups the results by the selected columns, and orders the results by sum_description in asc order.","['`project.dataset.return_orders`', '`project.dataset.categories`']","[{""left_table"": ""project.dataset.return_orders"", ""left_column"": ""return_id"", ""right_table"": ""project.dataset.categories"", ""right_column"": ""category_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""return_orders"", ""categories""]","[{""left_table"": ""return_orders"", ""right_table"": ""categories"", ""left_column"": ""return_id"", ""right_column"": ""category_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.first_name, t1.employee_id, MIN(t2.state) as min_state FROM project.dataset.employees t1 LEFT JOIN project.dataset.locations t2 ON t1.employee_id = t2.location_id GROUP BY t1.first_name, t1.employee_id ORDER BY min_state ASC;","This SQL query selects first_name, employee_id from the employees table and computes the min of state from the locations table as min_state. It performs a left join join between the employees and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by min_state in asc order.","['`project.dataset.employees`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.employees"", ""left_column"": ""employee_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""employees"", ""locations""]","[{""left_table"": ""employees"", ""right_table"": ""locations"", ""left_column"": ""employee_id"", ""right_column"": ""location_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.category_id, t1.category_name, MIN(t2.stock_level) as min_stock_level FROM project.dataset.categories t1 RIGHT JOIN project.dataset.inventory t2 ON t1.category_id = t2.warehouse_id GROUP BY t1.category_id, t1.category_name ORDER BY min_stock_level ASC;","This SQL query selects category_id, category_name from the categories table and computes the min of stock_level from the inventory table as min_stock_level. It performs a right join join between the categories and inventory tables on the relevant fields, groups the results by the selected columns, and orders the results by min_stock_level in asc order.","['`project.dataset.categories`', '`project.dataset.inventory`']","[{""left_table"": ""project.dataset.categories"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.inventory"", ""right_column"": ""warehouse_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""categories"", ""inventory""]","[{""left_table"": ""categories"", ""right_table"": ""inventory"", ""left_column"": ""category_id"", ""right_column"": ""warehouse_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.category_id, t1.description, MIN(t2.tracking_number) as min_tracking_number FROM project.dataset.categories t1 INNER JOIN project.dataset.shipments t2 ON t1.category_id = t2.order_id GROUP BY t1.category_id, t1.description ORDER BY min_tracking_number DESC;","This SQL query selects category_id, description from the categories table and computes the min of tracking_number from the shipments table as min_tracking_number. It performs a inner join join between the categories and shipments tables on the relevant fields, groups the results by the selected columns, and orders the results by min_tracking_number in desc order.","['`project.dataset.categories`', '`project.dataset.shipments`']","[{""left_table"": ""project.dataset.categories"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.shipments"", ""right_column"": ""order_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""categories"", ""shipments""]","[{""left_table"": ""categories"", ""right_table"": ""shipments"", ""left_column"": ""category_id"", ""right_column"": ""order_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.email, t1.phone, SUM(t2.status) as sum_status FROM project.dataset.customer_contacts t1 INNER JOIN project.dataset.return_orders t2 ON t1.contact_id = t2.order_id GROUP BY t1.email, t1.phone ORDER BY sum_status DESC;","This SQL query selects email, phone from the customer_contacts table and computes the sum of status from the return_orders table as sum_status. It performs a inner join join between the customer_contacts and return_orders tables on the relevant fields, groups the results by the selected columns, and orders the results by sum_status in desc order.","['`project.dataset.customer_contacts`', '`project.dataset.return_orders`']","[{""left_table"": ""project.dataset.customer_contacts"", ""left_column"": ""contact_id"", ""right_table"": ""project.dataset.return_orders"", ""right_column"": ""order_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""customer_contacts"", ""return_orders""]","[{""left_table"": ""customer_contacts"", ""right_table"": ""return_orders"", ""left_column"": ""contact_id"", ""right_column"": ""order_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.state, t1.supplier_id, t1.city, MIN(t2.product_name) as min_product_name FROM project.dataset.suppliers t1 LEFT JOIN project.dataset.products t2 ON t1.supplier_id = t2.product_id GROUP BY t1.state, t1.supplier_id, t1.city ORDER BY min_product_name ASC;","This SQL query selects state, supplier_id, city from the suppliers table and computes the min of product_name from the products table as min_product_name. It performs a left join join between the suppliers and products tables on the relevant fields, groups the results by the selected columns, and orders the results by min_product_name in asc order.","['`project.dataset.suppliers`', '`project.dataset.products`']","[{""left_table"": ""project.dataset.suppliers"", ""left_column"": ""supplier_id"", ""right_table"": ""project.dataset.products"", ""right_column"": ""product_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""suppliers"", ""products""]","[{""left_table"": ""suppliers"", ""right_table"": ""products"", ""left_column"": ""supplier_id"", ""right_column"": ""product_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.category_id, t1.description, COUNT(t2.stock_level) as count_stock_level FROM project.dataset.categories t1 LEFT JOIN project.dataset.inventory t2 ON t1.category_id = t2.product_id GROUP BY t1.category_id, t1.description ORDER BY count_stock_level DESC;","This SQL query selects category_id, description from the categories table and computes the count of stock_level from the inventory table as count_stock_level. It performs a left join join between the categories and inventory tables on the relevant fields, groups the results by the selected columns, and orders the results by count_stock_level in desc order.","['`project.dataset.categories`', '`project.dataset.inventory`']","[{""left_table"": ""project.dataset.categories"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.inventory"", ""right_column"": ""product_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""categories"", ""inventory""]","[{""left_table"": ""categories"", ""right_table"": ""inventory"", ""left_column"": ""category_id"", ""right_column"": ""product_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.order_id, t1.return_id, MAX(t2.amount) as max_amount FROM project.dataset.return_orders t1 INNER JOIN project.dataset.payments t2 ON t1.order_id = t2.order_id GROUP BY t1.order_id, t1.return_id ORDER BY max_amount DESC;","This SQL query selects order_id, return_id from the return_orders table and computes the max of amount from the payments table as max_amount. It performs a inner join join between the return_orders and payments tables on the relevant fields, groups the results by the selected columns, and orders the results by max_amount in desc order.","['`project.dataset.return_orders`', '`project.dataset.payments`']","[{""left_table"": ""project.dataset.return_orders"", ""left_column"": ""order_id"", ""right_table"": ""project.dataset.payments"", ""right_column"": ""order_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""return_orders"", ""payments""]","[{""left_table"": ""return_orders"", ""right_table"": ""payments"", ""left_column"": ""order_id"", ""right_column"": ""order_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.product_id, t1.product_name, MAX(t2.quantity) as max_quantity FROM project.dataset.products t1 INNER JOIN project.dataset.order_details t2 ON t1.product_id = t2.product_id GROUP BY t1.product_id, t1.product_name ORDER BY max_quantity ASC;","This SQL query selects product_id, product_name from the products table and computes the max of quantity from the order_details table as max_quantity. It performs a inner join join between the products and order_details tables on the relevant fields, groups the results by the selected columns, and orders the results by max_quantity in asc order.","['`project.dataset.products`', '`project.dataset.order_details`']","[{""left_table"": ""project.dataset.products"", ""left_column"": ""product_id"", ""right_table"": ""project.dataset.order_details"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""products"", ""order_details""]","[{""left_table"": ""products"", ""right_table"": ""order_details"", ""left_column"": ""product_id"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
